page, order, name, link
1,1, 아스콘(아스팔트 콘크리트), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=402
1,2, 2차전지(생산), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=449
1,3, 통신, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=126
1,4, 반도체 대표주(생산), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=155
1,5, 크래프톤 관련주, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=486
1,6, 인터넷 대표주, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=49
1,7, 광고, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=59
1,8, IT 대표주, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=173
1,9, 제지, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=63
1,10, 밥솥, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=341
1,11, 코로나19(나파모스타트), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=444
1,12, 온실가스(탄소배출권), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=152
1,13, LCD BLU제조, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=4
1,14, 생명보험, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=283
1,15, 日 수출 규제(국산화 등), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=422
1,16, 3D 낸드(NAND), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=370
1,17, 제습기, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=328
1,18, 보안주(물리), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=234
1,19, K-뉴딜지수, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=456
1,20, K-뉴딜지수(게임), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=460
1,21, 시멘트/레미콘, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=44
1,22, K-뉴딜지수(바이오), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=458
1,23, K-뉴딜지수(인터넷), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=459
1,24, 공기청정기, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=112
1,25, 아이폰, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=388
1,26, 코로나19(카모스타트), https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=453
1,27, 그래핀, https://finance.naver.com//sise/sise_group_detail.naver?type=theme&no=415
